Date,POILBREUSDM
01-04-2008,110.0331818
01-05-2008,123.8622727
01-06-2008,132.7604762
01-07-2008,133.5852174
01-08-2008,113.8004762
01-09-2008,98.75545455
01-10-2008,71.96347826
01-11-2008,52.7135
01-12-2008,40.51173913
01-01-2009,43.17454545
01-02-2009,42.9105
01-03-2009,46.58272727
01-04-2009,50.51909091
01-05-2009,57.50142857
01-06-2009,68.58
01-07-2009,64.90434783
01-08-2009,72.59190476
01-09-2009,67.51318182
01-10-2009,72.96863636
01-11-2009,76.93666667
01-12-2009,74.78956522
01-01-2010,76.60238095
01-02-2010,73.903
01-03-2010,79.51913043
01-04-2010,85.15636364
01-05-2010,76.13238095
01-06-2010,75.24636364
01-07-2010,75.195
01-08-2010,76.89181818
01-09-2010,77.93818182
01-10-2010,83.33857143
01-11-2010,85.80090909
01-12-2010,91.96
01-01-2011,96.95238095
01-02-2011,104.2385
01-03-2011,114.9173913
01-04-2011,123.3257143
01-05-2011,114.9295455
01-06-2011,114.3704545
01-07-2011,117.4833333
01-08-2011,110.3547826
01-09-2011,111.9627273
01-10-2011,110.4295238
01-11-2011,111.1586364
01-12-2011,108.3477273
01-01-2012,111.415
01-02-2012,119.1657143
01-03-2012,124.7031818
01-04-2012,120.47
01-05-2012,110.8221739
01-06-2012,95.88904762
01-07-2012,102.9795455
01-08-2012,113.7804348
01-09-2012,113.6415
01-10-2012,111.7926087
01-11-2012,109.9118182
01-12-2012,109.5690476
01-01-2013,112.5278261
01-02-2013,116.488
01-03-2013,109.5857143
01-04-2013,102.96
01-05-2013,102.9804348
01-06-2013,103.3585
01-07-2013,107.7795652
01-08-2013,111.0581818
01-09-2013,111.9628571
01-10-2013,109.6186957
01-11-2013,108.1504762
01-12-2013,111.0704545
01-01-2014,107.9269565
01-02-2014,108.838
01-03-2014,107.8680952
01-04-2014,108.0036364
01-05-2014,109.8322727
01-06-2014,112.2409524
01-07-2014,107.4626087
01-08-2014,102.4019048
01-09-2014,97.85272727
01-10-2014,87.58478261
01-11-2014,79.2295
01-12-2014,62.90391304
01-01-2015,48.93318182
01-02-2015,58.254
01-03-2015,56.52454545
01-04-2015,59.82636364
01-05-2015,65.19380952
01-06-2015,62.62
01-07-2015,56.82956522
01-08-2015,47.53380952
01-09-2015,48.03045455
01-10-2015,48.90636364
01-11-2015,45.0952381
01-12-2015,38.52521739
01-01-2016,32.0452381
01-02-2016,33.76238095
01-03-2016,39.79217391
01-04-2016,43.33047619
01-05-2016,47.735
01-06-2016,49.87727273
01-07-2016,46.59857143
01-08-2016,47.05217391
01-09-2016,47.37681818
01-10-2016,51.41380952
01-11-2016,46.94227273
01-12-2016,55.02272727
01-01-2017,55.71090909
01-02-2017,56.096
01-03-2017,52.65521739
01-04-2017,53.978
01-05-2017,51.37434783
01-06-2017,47.65272727
01-07-2017,49.25333333
01-08-2017,51.92782609
01-09-2017,55.55761905
01-10-2017,57.53636364
01-11-2017,62.83636364
01-12-2017,64.06428571
01-01-2018,68.88913043
01-02-2018,65.6965
01-03-2018,66.89181818
01-04-2018,71.93285714
01-05-2018,76.93434783
01-06-2018,75.80285714
01-07-2018,75.22909091
01-08-2018,73.85130435
01-09-2018,79.163
01-10-2018,80.78347826
01-11-2018,66.22863636
01-12-2018,57.94809524
01-01-2019,59.94478261
01-02-2019,64.384
01-03-2019,66.94190476
01-04-2019,71.47590909
01-05-2019,70.38913043
01-06-2019,63.2085
01-07-2019,64.32217391
01-08-2019,59.61818182
01-09-2019,62.43095238
01-10-2019,59.63130435
01-11-2019,62.68666667
01-12-2019,65.34818182
01-01-2020,63.89869565
01-02-2020,55.691
01-03-2020,33.94727273
01-04-2020,26.84863636
01-05-2020,32.42238095
01-06-2020,40.86045455
01-07-2020,43.29565217
01-08-2020,45.08142857
01-09-2020,41.92681818
01-10-2020,41.60681818
01-11-2020,44.05
01-12-2020,50.37695652
01-01-2021,55.2247619
